RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
6745,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4194,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2633,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5254,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2759,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3072,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5714,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
9307,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2806,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5357,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4138,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3967,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3881,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3527,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
7698,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
6242,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2770,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3174,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4045,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3765,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4083,E_F_jennifer_aniston.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4917,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5227,P_F_PRITI_PATEL.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3350,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4242,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2562,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
10709,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2771,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2795,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
6685,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3440,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2768,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3625,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2814,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4970,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4598,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3801,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5448,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5579,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3274,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4725,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
6208,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5991,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
8269,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2657,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3454,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
9575,E_F_jennifer_aniston.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3550,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
8261,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5122,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
10040,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5565,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4058,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3869,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3993,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4656,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4326,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5488,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4154,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
3107,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
8069,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5313,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5030,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
2614,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
10017,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
4027,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
5507,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
8855,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60fd533ec72b96e7ba6c2a50,"11/28/2021, 14:59:15"
