RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1955,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1768,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1944,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2772,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2233,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2767,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2001,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1404,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1627,E_F_jennifer_aniston.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1985,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2962,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2457,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
