"file","vividness","age","gender","handedness","participant"
"P_M_smut.png","2","23","F","right","8920"
"E_F_ilanit.png","1","23","F","right","8920"
"P_F_regev.png","1","23","F","right","8920"
"P_M_lapid.png","1","23","F","right","8920"
"E_F_rotem_sela.png","1","23","F","right","8920"
"E_F_galit_gutman.png","3","23","F","right","8920"
"P_M_benet.png","1","23","F","right","8920"
"E_M_liorA.png","2","23","F","right","8920"
"P_F_staiv.png","2","23","F","right","8920"
"E_M_ido.png","2","23","F","right","8920"
"E_M_asi.png","1","23","F","right","8920"
"E_M_yuda.png","1","23","F","right","8920"
"E_F_ninet.png","2","23","F","right","8920"
"P_M_saar.png","3","23","F","right","8920"
"P_M_buji.png","2","23","F","right","8920"
"E_M_danker.png","1","23","F","right","8920"
"P_M_gantz.png","1","23","F","right","8920"
"P_F_michaeli.png","2","23","F","right","8920"
"E_F_shiri.png","1","23","F","right","8920"
"P_F_shaked.png","1","23","F","right","8920"
"P_M_smut.png","2","23","F","right","9221"
"E_F_rotem_sela.png","2","23","F","right","9221"
"P_M_buji.png","2","23","F","right","9221"
"E_F_ilanit.png","3","23","F","right","9221"
"P_M_gantz.png","3","23","F","right","9221"
"E_M_ido.png","3","23","F","right","9221"
"P_F_michaeli.png","2","23","F","right","9221"
"E_M_danker.png","2","23","F","right","9221"
"P_F_staiv.png","3","23","F","right","9221"
"E_M_asi.png","2","23","F","right","9221"
"E_F_ninet.png","2","23","F","right","9221"
"P_M_lapid.png","3","23","F","right","9221"
"P_M_benet.png","2","23","F","right","9221"
"E_F_shiri.png","2","23","F","right","9221"
"P_M_saar.png","3","23","F","right","9221"
"E_M_yuda.png","2","23","F","right","9221"
"P_F_regev.png","2","23","F","right","9221"
"E_M_liorA.png","2","23","F","right","9221"
"P_F_shaked.png","2","23","F","right","9221"
"E_F_galit_gutman.png","2","23","F","right","9221"
"E_M_danker.png","1","21","M","right","8985"
"P_F_michaeli.png","1","21","M","right","8985"
"P_M_benet.png","2","21","M","right","8985"
"E_F_galit_gutman.png","3","21","M","right","8985"
"P_M_lapid.png","1","21","M","right","8985"
"E_M_yuda.png","2","21","M","right","8985"
"P_F_staiv.png","2","21","M","right","8985"
"E_M_ido.png","2","21","M","right","8985"
"E_F_rotem_sela.png","1","21","M","right","8985"
"E_F_ninet.png","1","21","M","right","8985"
"P_F_shaked.png","1","21","M","right","8985"
"E_F_ilanit.png","2","21","M","right","8985"
"P_M_buji.png","2","21","M","right","8985"
"E_M_liorA.png","2","21","M","right","8985"
"P_M_saar.png","4","21","M","right","8985"
"P_M_gantz.png","2","21","M","right","8985"
"E_F_shiri.png","1","21","M","right","8985"
"P_M_smut.png","1","21","M","right","8985"
