"","E_F_galit_gutman.png","E_F_ilanit.png","E_F_ninet.png","E_F_rotem_sela.png","E_F_shiri.png","E_M_asi.png","E_M_danker.png","E_M_ido.png","E_M_liorA.png","E_M_yuda.png","P_F_michaeli.png","P_F_regev.png","P_F_shaked.png","P_F_staiv.png","P_M_benet.png","P_M_buji.png","P_M_gantz.png","P_M_lapid.png","P_M_saar.png","P_M_smut.png"
"E_F_galit_gutman.png",NA,2.9375,4.47058823529412,3.41176470588235,3.82352941176471,5.11764705882353,4.82352941176471,4.8125,5.4,5.3125,4.58823529411765,5.47058823529412,4.52941176470588,4.35714285714286,5.29411764705882,5.52941176470588,5.35294117647059,5.29411764705882,5.64705882352941,5.3125
"E_F_ilanit.png",2.9375,NA,4.82352941176471,3.70588235294118,3.70588235294118,4.94117647058824,5.1875,4.94117647058824,5.5,5.25,4.76470588235294,5.29411764705882,5.17647058823529,4.78571428571429,5.70588235294118,5.52941176470588,5.35294117647059,5.76470588235294,5.64705882352941,5.6875
"E_F_ninet.png",4.47058823529412,4.82352941176471,NA,4.33333333333333,4.66666666666667,5.22222222222222,4.55555555555556,4.88235294117647,5.2,4.88235294117647,4.22222222222222,4.72222222222222,4.05555555555556,5,5.11111111111111,5.72222222222222,5.61111111111111,5.5,5.44444444444444,5.5625
"E_F_rotem_sela.png",3.41176470588235,3.70588235294118,4.33333333333333,NA,3.61111111111111,4.66666666666667,5,5.17647058823529,5.26666666666667,5.125,4.83333333333333,5.55555555555556,4.5,4.5,5.66666666666667,5.41176470588235,5.22222222222222,5.52941176470588,5.70588235294118,5.625
"E_F_shiri.png",3.82352941176471,3.70588235294118,4.66666666666667,3.61111111111111,NA,5.22222222222222,5.26315789473684,5.11764705882353,5.375,5.52941176470588,4.84210526315789,5.21052631578947,4.78947368421053,4.78571428571429,5.61111111111111,5.63157894736842,5.47368421052632,5.84210526315789,5.73684210526316,5.64705882352941
"E_M_asi.png",5.11764705882353,4.94117647058824,5.22222222222222,4.66666666666667,5.22222222222222,NA,4.27777777777778,4.1875,5.33333333333333,4.64705882352941,5.27777777777778,5.05555555555556,5.16666666666667,5.21428571428571,5.5,5.44444444444444,5.38888888888889,5.38888888888889,4.83333333333333,5.4375
"E_M_danker.png",4.82352941176471,5.1875,4.55555555555556,5,5.26315789473684,4.27777777777778,NA,3.375,5.1875,3.76470588235294,5.10526315789474,5.47368421052632,5.21052631578947,5.42857142857143,5.66666666666667,5.31578947368421,5.41176470588235,5.15789473684211,5.10526315789474,5.41176470588235
"E_M_ido.png",4.8125,4.94117647058824,4.88235294117647,5.17647058823529,5.11764705882353,4.1875,3.375,NA,4.21428571428571,3.875,5,5.11764705882353,4.94117647058824,5,5.17647058823529,5.05882352941176,5.05882352941176,5.1875,4.875,5.3125
"E_M_liorA.png",5.4,5.5,5.2,5.26666666666667,5.375,5.33333333333333,5.1875,4.21428571428571,NA,4.86666666666667,5.4375,5.25,5.5,5,5.5625,5.25,3.875,4.875,5.0625,5.13333333333333
"E_M_yuda.png",5.3125,5.25,4.88235294117647,5.125,5.52941176470588,4.64705882352941,3.76470588235294,3.875,4.86666666666667,NA,5.11764705882353,5.70588235294118,5.11764705882353,5.57142857142857,5.64705882352941,5.64705882352941,5.47058823529412,4.94117647058824,5.05882352941176,5.2
