RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
12905,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
3328,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
4538,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
3649,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
3626,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
3290,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
2952,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
2873,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
3176,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
2495,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
3903,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
7054,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
6380,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
4378,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
2583,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
3697,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
4979,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
4064,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
2273,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
4402,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ccd8e2864da9300186d7dc1,"04/25/2022, 19:43:01"
