RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6499,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
7057,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4017,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4292,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4851,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3194,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3617,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3356,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3230,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
9821,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4313,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4752,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3600,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3008,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3029,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3353,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3117,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
