RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3364,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2922,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2939,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
11782,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
4010,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3815,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
8846,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3605,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2782,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3022,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
5020,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2464,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3042,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
4662,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
6796,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3869,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
5733,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2557,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3423,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
121359,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2749,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3497,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
7136,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
10369,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2343,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
119185,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3162,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3138,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3566,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3062,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
