RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
5395,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
2959,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
3437,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
4849,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
2864,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
4142,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
4350,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
3931,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
4044,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
2582,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
3406,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
4374,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
2700,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
2067,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
4068,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
3351,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60c20abfdccab926283d8f7f,"04/25/2022, 20:06:34"
