RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
5493,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
4364,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
7106,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
6817,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
4960,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
6208,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
3564,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
10489,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
7048,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
3997,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
7937,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
4455,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
5701,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
5053,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
5143,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
6411,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
3785,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
6364,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f1d3667ed2efa62bbcfe896,"04/25/2022, 19:42:21"
