RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
6650,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
7230,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
4365,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
5890,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
3919,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
4777,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
4384,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
4053,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
5924,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
4865,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
5611,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
4744,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c575bfc99e4e500013d0913,"04/25/2022, 19:33:56"
