RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
8488,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
2933,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
3670,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
4553,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
7889,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
4422,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
5210,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
8516,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
17834,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
4213,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
3723,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
5737,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
5044,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
2807,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
4634,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
3642,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
3670,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
3105,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
2993,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efc56910fc604016b4d3af8,"04/25/2022, 19:50:54"
