RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2514,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
1913,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2300,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
6241,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3544,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2596,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2028,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2417,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2520,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3263,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2475,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3116,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2497,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3018,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
5669,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2757,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
5192,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3449,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2954,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3154,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
6169,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3397,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3347,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
file,isFamiliar,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
P_F_tehresy_may.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_F_angelina_jolie.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_M_tom_hankes.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
P_M_george_Wbush.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
P_M_donald_trump.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_M_Hugh_Grant.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_M_michael_caine.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_F_sandra_bullock.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_F_keira_knightley.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_M_robert_de_niro.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_M_nicolas_cage.jpg,0,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
P_M_david_cameron.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_F_jennifer_aniston.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
P_F_nicola_sturgeon.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
P_M_bill_clinton.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
P_F_hillary_clinton.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_F_Kate_Winslet.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
E_F_Judi_Dench.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
P_M_boris_johnson.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
P_M_Tony_Blair.jpg,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
age: 26,gender: Female,handedness: right,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
