RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
5658,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
4098,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
4169,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2188,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3345,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
11610,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
6232,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
6187,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
5249,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
14719,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
4843,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3204,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
5223,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
4834,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2516,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
5610,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3380,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
47443,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
5075,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2558,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
5205,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
1755,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
