RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
42054,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
3195,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
3846,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
44934,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
3439,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
3885,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
2788,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
20658,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
96040,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
3186,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
3269,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
3102,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
2774,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
2678,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
3102,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
2890,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
8988,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
2348,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
2228,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
2516,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
3125,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
110548,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
2912,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
2950,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
56354,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
6517,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
3044,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d7695cc7ae60f001bc4bde6,"04/25/2022, 19:57:55"
