RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3072,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3112,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2238,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2013,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2699,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2955,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2179,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2847,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2419,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
4516,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2360,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2023,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2977,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
