RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
32206,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5762,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
10998,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
9696,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
6603,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
8116,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5878,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3616,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3759,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5235,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
11545,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5658,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
10552,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
18385,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
6110,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4098,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2930,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
18078,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5253,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3441,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3401,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
