RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
17462,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
6363,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
5186,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
3262,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
4278,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
6009,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
4731,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
4682,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
3231,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
3764,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
4830,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
7290,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
5515,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
3544,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
5896,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
16183,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
8814,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
3160,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
2870,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
4479,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
5031,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
10216,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
6307,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
3814,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
4388,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
4606,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
5596,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6159a044cae3037ed9d75498,"04/25/2022, 19:40:22"
