RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3046,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2655,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2945,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2354,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4942,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3377,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2709,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3078,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4181,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3267,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3777,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2861,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
5329,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2676,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
5185,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4141,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3432,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4442,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4026,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2408,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2755,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3409,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2472,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2461,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3539,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4276,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3641,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2510,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
