RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5840a23e462286000136b652,"04/25/2022, 20:12:52"
10956,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
7036,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4450,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5102,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
10754,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3357,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4668,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3375,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5690,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
6545,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3276,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4507,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
12812,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
