RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
6470,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
4319,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
5889,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
7276,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
10736,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
4594,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
4540,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
5940,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
5463,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
8264,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
9525,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
5429,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
5313,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
29640,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3299,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
10068,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
32174,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
15685,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
