RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4341,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4183,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3713,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3114,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5196,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4926,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4082,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3149,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2755,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4769,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3621,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4184,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2834,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
