RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
5077,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
2985,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3203,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3881,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
4125,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3285,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3285,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3250,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3560,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3982,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
2931,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3541,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3519,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3716,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
2614,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
3010,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
2411,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f3bfcb7932c669b9df4f1dc,"04/25/2022, 19:30:23"
