RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2858,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2825,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3805,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2823,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2861,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4710,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4958,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2750,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2557,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2560,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2775,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2647,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3460,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2656,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2575,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2943,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4837,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3012,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3542,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2743,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2736,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2551,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2727,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2859,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2922,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2601,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2590,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3158,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2717,E_M_Martin_Freeman.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3278,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4815,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3044,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2817,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4534,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4319,E_F_jennifer_aniston.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2915,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
6675,E_M_anthony_hopkins.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2789,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3731,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2654,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
5432,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
6136,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3001,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3195,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2905,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2934,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2621,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2669,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
9095,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3022,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4407,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2549,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2698,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2476,E_M_Martin_Freeman.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4021,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3255,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2751,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3739,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3055,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4642,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2613,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
5373,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
25265,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2546,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2745,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2646,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
5796,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3001,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2651,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
