RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
5024,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2558,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2962,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
4664,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3341,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3110,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
4104,E_F_jennifer_aniston.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3034,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2770,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1834,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2177,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2099,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2581,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
