RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2897,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2350,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2725,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2498,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2741,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2269,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2131,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3159,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3703,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1750,E_F_keira_knightley.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3830,P_F_PRITI_PATEL.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2678,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3632,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2360,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2421,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2720,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2066,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3640,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2053,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2537,P_F_esther_mcvey.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2192,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2073,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2104,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2685,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3553,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3767,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2643,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2815,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2428,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2785,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1761,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2729,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2040,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
4123,P_F_esther_mcvey.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1983,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2614,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1921,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2119,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2094,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3346,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3268,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2513,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2127,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3507,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2087,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2873,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2312,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2857,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
5567,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2685,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2128,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2644,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2218,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1899,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3667,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1695,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3989,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3463,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3286,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
6087,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
4935,P_F_angela_rayner.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2316,P_F_nicola_sturgeon.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2384,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2035,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1984,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2123,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2361,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2317,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2023,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3308,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2229,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3260,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1828,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2515,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1903,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1903,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2484,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1839,E_F_Judi_Dench.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2001,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2613,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1718,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3982,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2631,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
4076,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1774,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1522,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2679,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1699,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1743,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1561,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1664,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2720,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1895,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2178,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1641,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1855,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2472,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2064,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1691,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3003,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
4010,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1797,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3448,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2037,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2206,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3174,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
1944,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3705,E_M_liam_neeson.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2653,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2032,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3053,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2833,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
4177,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2877,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3345,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2057,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2624,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
3578,E_M_Martin_Freeman.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
2219,P_F_hillary_clinton.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5e1b7fc4fd7db43b2b29efb6,"11/28/2021, 21:28:23"
