RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
7587,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
14288,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
7595,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
4560,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6201,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
15820,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
20927,E_F_jennifer_aniston.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
4839,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
13507,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6163,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
8806,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
7213,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6712,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
17583,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
8454,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
5474,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6922,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
12399,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
14890,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
