RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
5494,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3104,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3376,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
8483,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
4801,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
6090,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
6156,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
5318,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2634,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
4168,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
6485,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
4314,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
