RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
5980,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3522,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3137,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2937,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2138,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2387,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3963,E_M_liam_neeson.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3154,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
6125,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2580,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
8254,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3415,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
