RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
8803,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4456,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4271,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3319,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3727,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4520,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4683,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3474,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3931,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3629,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
5710,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3761,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4272,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4747,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3372,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3862,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4962,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3877,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4421,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2521,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
