RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4055,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4358,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4507,E_F_keira_knightley.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5243,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3724,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3805,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3588,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4024,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4323,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5192,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6830,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4587,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4371,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5259,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4790,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6125,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4142,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4006,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4168,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6911,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4341,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5076,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3707,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4590,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5876,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6392,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5276,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3889,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4674,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5761,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3705,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
7492,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5536,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
17605,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5107,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4397,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5524,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6692,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6159,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3455,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4459,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6893,P_F_angela_rayner.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3588,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5390,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5755,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
7593,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5541,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5770,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
