RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
6466,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3914,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2736,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3833,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5638,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2779,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3225,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
6080,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3234,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5864,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2453,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2622,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3284,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2157,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3261,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2481,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2085,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2327,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1423,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2040,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3386,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2092,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
8435,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5843,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
