RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3348,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3541,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2878,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3096,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3070,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3102,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2869,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3715,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2349,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2340,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
1991,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2807,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3394,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2780,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3477,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
