RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2319,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2887,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2645,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2295,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2719,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2434,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
1631,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
1903,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3259,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2450,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2871,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2831,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3063,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2624,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2407,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2945,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3711,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3110,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3498,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
