RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
15616,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
5256,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3347,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3447,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3832,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
4275,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3783,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
4549,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2296,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
4942,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3002,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3837,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2145,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2739,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3894,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2458,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3150,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2829,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3502,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3375,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2777,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3640,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2889,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2527,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2740,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
4421,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,2,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
7586,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2407,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2429,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
3303,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
2718,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5cf770915fd5830001d5a1a6,"08/14/2022, 11:47:23"
