RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3234,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3090,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2476,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2452,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
13639,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2541,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
1963,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2855,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2225,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2324,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2414,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2120,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3068,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4192,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4431,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2474,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2240,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
1848,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
1853,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3660,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2021,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2178,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2942,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2721,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2627,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
