RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4752,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4336,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3659,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4313,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4192,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6061,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4203,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6561,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4731,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3354,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3673,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
8438,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6199,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3250,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2879,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2937,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6353,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4275,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4553,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4896,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2916,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3801,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
9042,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4751,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3312,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3473,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3295,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3289,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2389,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3483,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4605,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3128,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3548,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3956,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2892,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5459,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3815,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2792,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2665,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5082,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3251,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3180,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2996,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2854,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3293,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3390,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2997,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3924,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2952,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3232,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3256,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4764,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4133,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3738,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4443,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3577,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3787,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2888,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3856,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
file,isFamiliar,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
P_yehimovitz.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
P_zamir.jpg,0,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_rita.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_harLev.jpg,0,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
P_peretz.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
P_smootchi.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
P_liberman.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
P_benet.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_shaharHasson.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_tavori.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_moniMo.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_ivri.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
P_shaked.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_ornaBanai.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_shaniCo.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_yanai.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
P_lapid.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_alfi.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
E_katorza.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
P_michaeli.jpg,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
age: 24,gender: F,handedness: right,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
