RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
7290,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6247,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3252,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5315,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4126,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4077,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4874,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3096,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2774,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4553,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2978,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3912,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4043,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3130,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3397,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3242,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
8634,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2613,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
