RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4041,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4491,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3268,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2844,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4591,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3123,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4907,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
5669,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3600,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4515,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
7199,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3446,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4491,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
5474,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
7638,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
6709,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4421,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3507,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3547,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2737,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2658,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2758,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
file,isFamiliar,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_moniMo.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_shaharHasson.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
P_michaeli.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
P_shaked.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
P_smootchi.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
P_yehimovitz.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_tavori.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_ivri.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
P_benet.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_rita.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_alfi.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_shaniCo.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
P_liberman.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
P_peretz.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_katorza.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_harLev.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
P_lapid.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_yanai.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
E_ornaBanai.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
P_zamir.jpg,1,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
age: 33,gender: F,handedness: right,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
