RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7709,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5235,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7746,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
13660,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7235,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
11757,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
18869,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
25874,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6050,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3296,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3061,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
2775,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6319,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3116,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
21064,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6445,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7268,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7161,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5862,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3746,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3659,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4683,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5296,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6444,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5591,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
12119,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
file,isFamiliar,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_rita.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_tavori.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
P_peretz.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
P_zamir.jpg,0,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
P_michaeli.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_ivri.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
P_liberman.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
P_benet.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_shaharHasson.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_alfi.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_moniMo.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
P_shaked.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
P_lapid.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_katorza.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_harLev.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_ornaBanai.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
P_smootchi.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
P_yehimovitz.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_yanai.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
E_shaniCo.jpg,1,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
age: 25,gender: F,handedness: right,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
