RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
9459,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
11251,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
43780,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
14117,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
28924,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
7156,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
7483,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
11708,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
29413,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
9327,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
26963,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
27484,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
7961,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
36009,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
10504,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5765,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
4198,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
6908,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
