RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4897,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,2,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3558,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3367,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2526,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3544,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3789,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2649,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2615,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2047,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2158,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1483,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2053,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2558,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
5457,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4033,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2639,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2599,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2340,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3192,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3381,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2045,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3887,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2351,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1717,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2734,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
13687,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4895,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4178,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3546,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2160,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2688,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2761,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
