RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2671,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4080,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3193,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3165,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
11108,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
13575,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
9532,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
6321,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3070,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
5244,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
20389,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4638,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4576,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2070,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3415,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
8218,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3236,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
6320,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4153,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
6197,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3523,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
6320,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4711,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4644,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
7566,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3363,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
5365,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
18580,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
