RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3134,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2171,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2735,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2560,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3060,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2556,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3104,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2304,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3998,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
5529,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2729,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1766,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2732,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2860,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1944,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1892,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2489,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2606,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3008,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3849,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2279,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2405,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1951,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1950,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1891,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2470,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1668,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1879,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1548,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
