RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2026,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1464,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2233,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2059,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1427,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
514,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
481,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
617,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
580,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
539,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
768,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
file,isFamiliar,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
P_liberman.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
P_michaeli.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
P_zamir.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_moniMo.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
P_peretz.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
P_lapid.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
P_shaked.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_tavori.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_ornaBanai.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_rita.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_yanai.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
P_yehimovitz.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_ivri.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_harLev.jpg,0,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
P_benet.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
P_smootchi.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_katorza.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_shaniCo.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_alfi.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
E_shaharHasson.jpg,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
age: 22,gender: M,handedness: right,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
