RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
15233,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
45655,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
8042,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
6108,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
1898,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
2491,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
file,isFamiliar,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_yanai.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
P_michaeli.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_shaniCo.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
P_peretz.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
P_yehimovitz.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_tavori.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_ivri.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
P_zamir.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
P_smootchi.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_katorza.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
P_shaked.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_ornaBanai.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
P_liberman.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
P_benet.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_alfi.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_moniMo.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_shaharHasson.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_rita.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
P_lapid.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
E_harLev.jpg,1,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
age: 25,gender: F,handedness: left,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
