RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
1915,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2193,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2827,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2559,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
1871,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3298,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2387,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
1667,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3519,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3369,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4195,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
file,isFamiliar,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
P_lapid.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
P_smootchi.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_ornaBanai.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
P_yehimovitz.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
P_zamir.jpg,0,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
P_peretz.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_yanai.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
P_liberman.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_ivri.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_tavori.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_shaniCo.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_shaharHasson.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_rita.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_alfi.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_moniMo.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
P_shaked.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_katorza.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
P_michaeli.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
E_harLev.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
P_benet.jpg,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
age: 30,gender: M,handedness: left,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
