RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3747,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2260,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2154,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2156,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3500,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2206,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2067,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2644,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1701,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2359,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2495,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1963,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3161,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1813,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2264,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3162,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2219,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2458,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1701,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2085,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2700,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3126,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2223,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2100,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3271,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
4124,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2566,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1700,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2643,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1953,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2446,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1804,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2142,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1829,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2293,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3468,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
