RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
5025,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3144,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
6185,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
4206,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
4357,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2956,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2847,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3129,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3059,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2629,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2314,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3157,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3740,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2349,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2994,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
4671,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3330,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2345,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2751,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
4871,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3073,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2662,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2328,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
6118,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3468,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2747,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3308,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2428,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2634,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
4550,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
1983,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2300,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3051,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3460,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
6657,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3480,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
5920,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,1,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2925,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
14734,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3574,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2815,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
5282,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2599,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
1986,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2073,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
9507,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
4445,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
6585,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3550,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
1774,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2925,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
4479,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2352,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3112,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3533,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3122,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3439,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
4372,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2619,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
4211,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2516,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2715,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
5748,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2806,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2049,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2584,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3840,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3273,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2250,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2038,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2223,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
5984,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2956,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2869,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3415,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3994,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3790,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2121,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
4385,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
3147,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2871,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2217,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
2321,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6106ffee2f0d8f37d5202bd6,"06/14/2022, 18:36:38"
