RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
5612,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
2601,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
4418,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
2946,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
3904,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
3020,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
1904,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
1864,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
2511,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
3442,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
4920,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
2096,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
1843,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
2959,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
1965,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
6922,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
2414,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
1869,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
1802,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
2806,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
1616,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
4731,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
2888,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,60fdbe1363c332cd3027e3c6,"06/13/2022, 09:15:24"
