RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3054,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2732,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
6000,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
5705,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3030,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2812,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3500,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
7104,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
6519,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2698,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2936,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
5627,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
9284,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3502,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
9038,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
6681,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
10533,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3626,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
5529,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
7814,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
10399,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
6430,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
22171,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2984,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2640,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2652,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
7806,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2999,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4992,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3558,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
13883,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
15448,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
8906,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
6795,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
10004,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2815,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3526,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
5203,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2154,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
5230,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4677,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2436,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3387,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2763,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2847,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2149,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
1742,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
6114,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4695,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3948,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2590,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
1673,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3774,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
5207,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4001,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3621,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4225,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3578,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2661,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3604,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4244,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2916,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
