RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
4414,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
6387,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
4865,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
7752,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
3091,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
4577,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
4313,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
4790,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
2716,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
3962,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
2937,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
11118,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
3159,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
2470,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6166eb40f3fdb397f7333849,"06/13/2022, 08:10:19"
