RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
7202,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
4447,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
7518,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
3142,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
3373,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2877,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
3527,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
3718,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2683,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
3493,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
3781,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2781,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2408,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2528,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2691,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
3614,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2844,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
3717,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2657,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2585,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2841,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
3010,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2648,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
4125,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2505,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2647,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2810,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2909,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2938,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
2751,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5f89ce099f6c7c01b31223fb,"06/13/2022, 17:46:00"
