RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
11178,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
6061,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
4859,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
9505,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
3741,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
5979,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
2680,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
4135,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
3420,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
4948,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
4752,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
5776,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
4594,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
3522,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
2878,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
2640,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
3631,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
4178,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
3620,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
2667,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d0787932267b900197ef10b,"06/13/2022, 10:56:25"
