RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
9812,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4902,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6651,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
9581,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6426,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4690,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4832,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5081,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3851,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4071,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5542,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5977,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5576,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4250,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4860,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3151,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
10538,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4071,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6311,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4817,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
