RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed
4883,E_F_galit_gutman.png,P_M_buji.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5
2829,P_M_lapid.png,P_M_saar.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6
3065,E_F_shiri.png,P_F_regev.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6
3769,E_M_asi.png,E_M_yuda.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5
3514,E_F_galit_gutman.png,E_M_yuda.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5
4661,E_M_asi.png,P_M_benet.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6
3293,E_F_galit_gutman.png,E_M_liorA.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4
3420,E_M_danker.png,P_M_buji.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5
3406,E_M_yuda.png,P_F_regev.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6
3538,E_F_galit_gutman.png,E_F_ninet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5
3537,E_M_asi.png,P_M_lapid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6
3569,E_F_ilanit.png,P_M_benet.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6
4133,E_F_ilanit.png,P_F_michaeli.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6
2876,P_F_regev.png,P_M_lapid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6
2948,P_F_shaked.png,P_F_staiv.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6
4359,E_F_rotem_sela.png,P_M_gantz.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3
2890,E_M_asi.png,E_M_danker.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5
2567,P_F_regev.png,P_M_gantz.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6
2770,P_F_michaeli.png,P_M_buji.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6
3737,E_M_yuda.png,P_M_lapid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6
6886,E_M_danker.png,E_M_ido.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5
3121,E_M_asi.png,P_F_michaeli.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6
4658,E_F_rotem_sela.png,P_M_smut.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3
3134,E_F_shiri.png,P_F_shaked.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6
5250,P_F_regev.png,P_M_smut.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6
4066,P_M_gantz.png,P_M_saar.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6
2388,E_F_shiri.png,P_M_buji.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5
1932,P_F_shaked.png,P_M_benet.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6
2691,E_F_rotem_sela.png,E_M_ido.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3
3750,E_F_ninet.png,E_M_ido.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4
3136,E_M_danker.png,P_F_michaeli.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5
2083,P_M_lapid.png,P_M_smut.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6
5334,E_F_ninet.png,P_F_shaked.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3
2814,E_M_ido.png,P_M_gantz.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4
2503,E_F_ilanit.png,P_M_gantz.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5
4482,P_F_shaked.png,P_M_smut.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3
2437,E_F_galit_gutman.png,E_M_danker.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4
2175,E_M_asi.png,P_M_buji.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6
3929,E_M_danker.png,E_M_liorA.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4
2605,E_M_yuda.png,P_M_saar.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3
2154,P_F_regev.png,P_M_benet.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6
2252,P_F_michaeli.png,P_M_lapid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6
3405,E_M_yuda.png,P_M_buji.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5
2290,E_F_shiri.png,P_M_lapid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6
3790,E_M_ido.png,P_M_lapid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6
