RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2987,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2338,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2236,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2262,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2854,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2071,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3067,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2986,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1889,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1871,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1821,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3138,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2615,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3154,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2160,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2910,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1723,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3372,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2008,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2288,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3438,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2189,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3037,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3170,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3136,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
4433,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2287,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2088,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3103,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2570,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2151,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2021,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2358,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1788,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1988,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3069,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
