RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4014,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4521,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4122,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
6293,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3139,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4096,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
8399,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4390,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4028,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
5721,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
6665,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3986,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3615,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3133,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
