RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2828,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2664,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2164,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2699,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2629,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2063,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2565,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
584965,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
6514,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
5797,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2880,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3796,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2496,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3030,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2896,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
4681,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2130,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2463,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2312,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2164,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3181,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2379,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2982,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2947,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3513,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2661,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3746,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1947,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
4147,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2611,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1914,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2547,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3013,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1914,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2431,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2648,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2247,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2144,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3213,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3646,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
4147,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2830,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2828,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
4761,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3263,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2130,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2212,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2430,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
