RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
5718,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2957,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2636,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1798,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1366,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1502,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1359,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1910,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3586,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2535,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1508,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1639,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2309,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2558,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2903,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1902,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2980,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
4321,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2278,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1270,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1365,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1213,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1247,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1103,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2346,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3420,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1586,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
966,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1762,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
