RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1292,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3046,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2456,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4744,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2169,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1462,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2165,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2844,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1962,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1682,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1744,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3053,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1663,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3143,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2224,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1707,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
27218,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3143,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2515,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4624,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4934,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2551,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1901,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
5803,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
