RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4301,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2099,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4064,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2292,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3071,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2148,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1682,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2114,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2357,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4944,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
12300,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2456,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1842,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2102,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3205,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2995,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2872,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4451,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
5140,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
5717,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2735,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2570,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3119,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3259,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3281,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
92250,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3873,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3517,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2674,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
5508,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2689,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2122,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2624,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2318,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2047,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2017,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1719,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2370,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1929,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4612,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2557,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4059,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2117,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2277,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2735,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2004,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
5460,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2067,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2333,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
5044,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4504,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3906,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4233,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
5886,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2793,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2314,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
