RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
11111,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
6146,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4975,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3106,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2872,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4709,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4397,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2103,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2643,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2499,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3708,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4994,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2306,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
5363,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1993,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2856,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1667,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2809,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3427,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2911,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2739,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2762,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2452,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4269,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4901,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2342,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
15691,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1585,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2505,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2226,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3559,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1861,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2550,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3477,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3394,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
6518,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3155,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1981,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2203,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
8331,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1508,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4173,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1188,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
15004,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
5616,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2585,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
5649,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2163,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2841,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
7407,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4251,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2271,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2788,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4517,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2398,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1990,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3960,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
6872,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4657,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2125,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2918,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2543,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1725,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
