RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
6842,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3170,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
4784,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3014,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3013,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3906,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3901,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3878,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3458,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
5371,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2128,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2229,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3827,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2409,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3876,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2397,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3260,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2239,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3613,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2229,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1773,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
4438,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2696,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2051,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3276,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2886,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
4270,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3499,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1834,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1955,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2715,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
7268,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3376,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
5293,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
4614,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2916,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2106,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1842,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2416,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3012,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2014,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2661,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3933,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2014,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3675,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3008,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
48605,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3718,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
25860,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3750,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2535,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
4035,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2004,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1848,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2589,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2748,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2467,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2568,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2807,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2663,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1860,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3650,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3210,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1817,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1826,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1528,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1688,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1838,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
6132,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
5703,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3330,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
4513,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2559,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
6633,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
7765,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
25842,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
9502,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
4447,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2165,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
4291,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2963,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1901,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
2636,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1910,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
3518,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
9397,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
1649,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f92ba051f37511fb544dfc4,"06/24/2022, 15:05:35"
