RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3531,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
35973,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4685,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
21861,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
12997,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
10006,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
5820,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
6976,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
7351,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4017,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2792,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2430,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2104,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2347,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
1943,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2343,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2099,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2228,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3122,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2550,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2499,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2028,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
1852,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
1810,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2413,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2615,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4718,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
46060,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2777,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3280,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
35003,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2296,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3650,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
1989,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3052,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
6328,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
